# Id,#Class
0,1
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,1
475,0
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,1
547,0
548,1
549,0
550,0
551,0
552,0
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,0
561,0
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,1
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,0
607,1
608,0
609,0
610,0
611,1
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,1
621,1
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,1
630,1
631,0
632,0
633,1
634,0
635,0
636,1
637,1
638,0
639,0
640,1
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,1
669,1
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,0
698,1
699,0
700,0
701,0
702,1
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,1
711,1
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,0
720,0
721,1
722,0
723,0
724,1
725,1
726,1
727,0
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,1
740,0
741,0
742,1
743,0
744,1
745,0
746,0
747,1
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,1
765,0
766,0
767,1
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,1
802,0
803,0
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,0
812,1
813,1
814,0
815,1
816,1
817,0
818,1
819,0
820,1
821,0
822,0
823,1
824,1
825,0
826,0
827,1
828,0
829,0
830,0
831,1
832,0
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,1
841,0
842,1
843,1
844,0
845,1
846,0
847,0
848,1
849,1
850,1
851,0
852,0
853,1
854,1
855,1
856,1
857,0
858,1
859,0
860,1
861,0
862,0
863,0
864,1
865,0
866,1
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,1
879,1
880,0
881,0
882,0
883,1
884,1
885,0
886,1
887,1
888,1
889,0
890,1
891,1
892,1
893,0
894,1
895,1
896,0
897,1
898,0
899,0
900,1
901,0
902,1
903,0
904,0
905,1
906,1
907,1
908,1
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,0
923,0
924,0
925,1
926,0
927,1
928,1
929,1
930,1
931,1
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,0
940,0
941,1
942,1
943,0
944,0
945,0
946,0
947,1
948,0
949,1
950,1
951,0
952,1
953,1
954,0
955,1
956,0
957,0
958,1
959,1
960,1
961,0
962,1
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,1
971,0
972,1
973,1
974,1
975,0
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,1
993,1
994,1
995,1
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,0
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,0
1032,1
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,0
1049,0
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,0
1057,0
1058,1
1059,1
1060,0
1061,1
1062,1
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,0
1075,0
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,1
1088,0
1089,1
1090,0
1091,0
1092,0
1093,0
1094,1
1095,0
1096,1
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,1
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,1
1114,1
1115,0
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,1
1129,1
1130,1
1131,1
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,1
1140,0
1141,1
1142,0
1143,0
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,0
1158,1
1159,0
1160,1
1161,0
1162,0
1163,0
1164,1
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,1
1172,0
1173,1
1174,1
1175,0
1176,0
1177,1
1178,0
1179,0
1180,0
1181,1
1182,1
1183,1
1184,0
1185,0
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,0
1201,1
1202,1
1203,0
1204,1
1205,0
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,0
1213,1
1214,1
1215,0
1216,1
1217,0
1218,0
1219,0
1220,1
1221,1
1222,1
1223,0
1224,0
1225,0
1226,0
1227,0
1228,1
1229,0
