# Id,#Class
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,0
474,1
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,1
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,0
505,1
506,0
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,0
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,0
571,1
572,1
573,0
574,0
575,0
576,0
577,0
578,1
579,1
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,0
596,1
597,0
598,1
599,0
600,0
601,0
602,1
603,0
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,0
612,0
613,1
614,1
615,0
616,0
617,0
618,1
619,0
620,1
621,1
622,0
623,1
624,1
625,0
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,0
639,1
640,0
641,0
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,0
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,0
658,1
659,1
660,1
661,0
662,0
663,1
664,0
665,1
666,1
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,1
707,0
708,1
709,1
710,1
711,0
712,0
713,0
714,1
715,1
716,0
717,1
718,1
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,0
727,0
728,1
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,0
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,1
754,1
755,0
756,1
757,1
758,0
759,0
760,1
761,1
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,0
781,0
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,0
799,0
800,1
801,1
802,1
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,1
811,0
