# Id,#Class
0,0
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,1
524,0
525,1
526,1
527,0
528,0
529,1
530,1
531,0
